service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20180101, 20180318
A2, 0, 0, 0, 0, 0, 1, 0, 20180101, 20180318
A3, 0, 0, 0, 0, 0, 0, 1, 20180101, 20180318
A4, 0, 0, 0, 0, 0, 1, 1, 20180101, 20180318
C1, 1, 1, 1, 1, 1, 0, 0, 20180319, 20180325
C2, 0, 0, 0, 0, 0, 1, 0, 20180319, 20180325
C3, 0, 0, 0, 0, 0, 0, 1, 20180319, 20180325
C4, 0, 0, 0, 0, 0, 1, 1, 20180319, 20180325
D1, 1, 1, 1, 1, 1, 0, 0, 20180326, 20180401
D2, 0, 0, 0, 0, 0, 1, 0, 20180326, 20180401
D3, 0, 0, 0, 0, 0, 0, 1, 20180326, 20180401
D4, 0, 0, 0, 0, 0, 1, 1, 20180326, 20180401
G1, 1, 1, 1, 1, 1, 0, 0, 20180402, 20180408
G2, 0, 0, 0, 0, 0, 1, 0, 20180402, 20180408
G3, 0, 0, 0, 0, 0, 0, 1, 20180402, 20180408
G4, 0, 0, 0, 0, 0, 1, 1, 20180402, 20180408
K1, 1, 1, 1, 1, 1, 0, 0, 20180409, 20180427
K2, 0, 0, 0, 0, 0, 1, 0, 20180409, 20180427
K3, 0, 0, 0, 0, 0, 0, 1, 20180409, 20180427
K4, 0, 0, 0, 0, 0, 1, 1, 20180409, 20180427
A1A, 1, 1, 1, 1, 1, 0, 0, 20180428, 20181231
A2A, 0, 0, 0, 0, 0, 1, 0, 20180428, 20181231
A3A, 0, 0, 0, 0, 0, 0, 1, 20180428, 20181231
A4A, 0, 0, 0, 0, 0, 1, 1, 20180428, 20181231
F1, 0, 0, 0, 0, 1, 0, 0, 20180330, 20180330
H1, 0, 0, 0, 1, 0, 0, 0, 20180405, 20180405
J1, 0, 0, 0, 0, 1, 0, 0, 20180406, 20180406
